County Name,Time,wind,tmax,tmin,ToxicSites,pm25,AQI
Clinton,1,10,77,58,6,3,13
Clinton,2,10,89,64,6,8.5,35
Clinton,3,13,91,73,6,11.3,47
Clinton,4,11,91,69,6,6,25
Clinton,5,7,76,64,6,3.3,14
Clinton,6,7,78,58,6,6.6,28
Clinton,7,12,73,57,6,2.9,12
Clinton,8,6,75,49,6,4.9,20
Delaware,1,3,80,48,6,4.3,18
Delaware,2,6,83,56,6,7.5,31
Delaware,3,10,92,75,6,8.3,35
Delaware,4,6,86,64,6,4,17
Delaware,5,10,81,60,6,1.2,5
Delaware,6,4,81,51,6,5.2,22
Delaware,7,11,72,52,6,5.4,23
Delaware,8,3,69,43,6,4.2,18
Johnson,1,6.93,80,57,5,4.4,18
Johnson,2,9.17,90,62,5,7.4,31
Johnson,3,8.95,95,75,5,9.9,41
Johnson,4,5.82,94,69,5,5.6,23
Johnson,5,11.41,81,63,5,2.5,10
Johnson,6,7.16,77,62,5,5.3,22
Johnson,7,10.74,76,54,5,3.2,13
Johnson,8,5.82,78,48,5,3.9,16
Linn,1,6.71,67,79,18,5.3,22
Linn,2,10.51,75,90,18,8.6,36
Linn,3,11.63,82,91,18,8.7,36
Linn,4,6.71,79,90,18,4.9,20
Linn,5,13.87,69,77,18,2.3,10
Linn,6,8.72,66,74,18,5.9,25
Linn,7,12.97,64,74,18,4.3,18
Linn,8,6.71,62,75,18,4.9,20
Muscatine,1,5,84,57,11,4.4,18
Muscatine,2,10,82,60,11,6.9,29
Muscatine,3,9,90,72,11,11.2,47
Muscatine,4,5,88,68,11,5.8,24
Muscatine,5,10,84,63,11,3.6,15
Muscatine,6,6,87,60,11,8.8,37
Muscatine,7,12,81,57,11,3.4,14
Muscatine,8,2,74,46,11,4.1,17
Scott,1,9.4,79,53,15,3.2,13
Scott,2,11.86,90,64,15,7.7,32
Scott,3,12.08,92,73,15,10.1,42
Scott,4,9.17,92,64,15,5.5,23
Scott,5,12.75,76,63,15,3,13
Scott,6,9.17,80,58,15,5.9,25
Scott,7,12.3,73,54,15,3.4,14
Scott,8,5,77,48,15,4.2,18
